sku	price	quantity	leadtime-to-ship
9970464-BLACK-SILVER-45.5	289.99	0	1
9970464-BLACK-SILVER-46	289.99	0	1
9970464-BLACK-SILVER-46.5	289.99	0	1
9970464-BLACK-SILVER-47	289.99	0	1
9970464-BLACK-SILVER-48	289.99	0	1
9970464-BLACK-SILVER-50	289.99	0	1
9970504-BLACK-40/6.7	99.99	0	1
9970504-BLACK-41/7.6	99.99	0	1
9970504-BLACK-42/8.3	99.99	0	1
9970504-BLACK-43/8.9	99.99	0	1
9970504-BLACK-44/9.7	99.99	0	1
9970504-BLACK-45/10.5	99.99	0	1
9970504-BLACK-46/11.2	99.99	0	1
9970504-BLACK-47/11.8	99.99	0	1
9970504-BLACK-48/12.3	99.99	0	1
9970508-MONKEY-BEIGE-S-M	11.65	0	1
9970393-WHITE-GOLD	54.99	0	1
9970416-GRAY-20X2.2	28.99	0	1
9970422-ASSORTED-52MM	21.99	0	1
9970422-ASSORTED-54MM	21.99	0	1
9970422-NATURAL-54MM	21.99	0	1
9970509-OWL-PURPLE-S-M	9.85	0	1
9970510-BLACK-SILVER-39	99.99	0	1
9970510-BLACK-SILVER-40	99.99	0	1
9970510-BLACK-SILVER-40.5	99.99	0	1
9970510-MATTE-BLACK-36	99.99	0	1
9970510-MATTE-BLACK-37	99.99	0	1
9970510-MATTE-BLACK-37.5	99.99	0	1
9970510-MATTE-BLACK-38.5	99.99	0	1
9970510-MATTE-BLACK-39	99.99	0	1
9970510-MATTE-BLACK-39.5	99.99	0	1
9970510-MATTE-BLACK-40	99.99	0	1
9970510-MATTE-BLACK-40.5	99.99	0	1
9970510-MATTE-BLACK-41	99.99	0	1
9970510-MATTE-BLACK-41.5	99.99	0	1
9970510-MATTE-BLACK-42	99.99	0	1
9970510-MATTE-BLACK-42.5	99.99	0	1
9970510-MATTE-BLACK-43	99.99	0	1
9970580-WHITE-BLACK-L	13.99	0	1
9970580-WHITE-BLACK-XL	13.99	0	1
9970580-BLACK-WHITE-S	13.99	0	1
9970580-BLACK-WHITE-M	13.99	0	1
9970580-BLACK-WHITE-L	13.99	0	1
9970580-BLACK-WHITE-XL	13.99	0	1
9970580-GRAY-BLUE-JEWEL-S	13.99	0	1
9970580-GRAY-BLUE-JEWEL-M	13.99	0	1
9970580-GRAY-BLUE-JEWEL-L	13.99	0	1
9970580-GRAY-BLUE-JEWEL-XL	13.99	0	1
9970583-BLACK-WHITE-S	13.99	0	1
9970583-BLACK-WHITE-M	13.99	0	1
9970583-BLACK-WHITE-L	13.99	0	1
9970583-BLACK-WHITE-XL	13.99	0	1
9970583-BLU-JEWEL-WHITE-S	13.99	0	1
9970583-BLU-JEWEL-WHITE-M	13.99	0	1
9970583-BLU-JEWEL-WHITE-L	13.99	0	1
769493200631	46.8	0	1
769493200716	46.8	0	1
769493200730	46.8	0	1
769493200723	46.8	0	1
9969908-BLACK-WHITE-SMALL	35.99	0	1
9969908-BLACK-WHITE-MEDIUM	35.99	0	1
9969908-BLACK-WHITE-LARGE	35.99	0	1
9969908-BLACK-WHITE-X-LARGE	35.99	0	1
